GeoFips,GeoName,LineCode,Description,2019
13020,"Bay City, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,103126
13020,"Bay City, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43657
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,392563
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45219
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Population (persons) 1/,115767
13220,"Beckley, WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41128
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Population (persons) 1/,229247
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50915
13460,"Bend, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,197692
13460,"Bend, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,56447
13740,"Billings, MT (Metropolitan Statistical Area)",2,Population (persons) 1/,181667
13740,"Billings, MT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,53960
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,238691
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46484
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,1090435
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,53374
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Population (persons) 1/,128949
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,58254
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",2,Population (persons) 1/,167531
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,39517
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,171517
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,49602
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,Population (persons) 1/,169230
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43411
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,83194
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47097
14260,"Boise City, ID (Metropolitan Statistical Area)",2,Population (persons) 1/,749202
14260,"Boise City, ID (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47881
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,Population (persons) 1/,4873019
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,81498
14500,"Boulder, CO (Metropolitan Statistical Area) *",2,Population (persons) 1/,326196
14500,"Boulder, CO (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,76527
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,Population (persons) 1/,179240
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37114
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,Population (persons) 1/,271473
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,58874
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,Population (persons) 1/,943332
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,121397
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,423163
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29928
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,118779
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42885
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,1127983
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52331
15500,"Burlington, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,169509
15500,"Burlington, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41193
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,Population (persons) 1/,220411
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,58662
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2,Population (persons) 1/,113510
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,58582
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,397520
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46061
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,Population (persons) 1/,770577
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52064
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,Population (persons) 1/,96765
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44571
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,135764
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41733
16180,"Carson City, NV (Metropolitan Statistical Area)",2,Population (persons) 1/,55916
16180,"Carson City, NV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52470
16220,"Casper, WY (Metropolitan Statistical Area)",2,Population (persons) 1/,79858
16220,"Casper, WY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,72187
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,273032
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,53143
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,155027
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47934
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,226033
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46616
16620,"Charleston, WV (Metropolitan Statistical Area)",2,Population (persons) 1/,257074
16620,"Charleston, WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45276
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2,Population (persons) 1/,802122
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,53119
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,Population (persons) 1/,2636883
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,53916
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",2,Population (persons) 1/,218615
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,69003
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2,Population (persons) 1/,565194
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47376
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2,Population (persons) 1/,99500
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54113
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,Population (persons) 1/,9458539
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,63500
17020,"Chico, CA (Metropolitan Statistical Area)",2,Population (persons) 1/,219186
17020,"Chico, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47860
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2,Population (persons) 1/,2221208
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,56033
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2,Population (persons) 1/,307820
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41881
17420,"Cleveland, TN (Metropolitan Statistical Area)",2,Population (persons) 1/,124942
17420,"Cleveland, TN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39839
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,2048449
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,55451
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2,Population (persons) 1/,165697
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46645
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,264728
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41742
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",2,Population (persons) 1/,745791
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,51120
17860,"Columbia, MO (Metropolitan Statistical Area)",2,Population (persons) 1/,208173
17860,"Columbia, MO (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47482
17900,"Columbia, SC (Metropolitan Statistical Area)",2,Population (persons) 1/,838433
17900,"Columbia, SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46523
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",2,Population (persons) 1/,321048
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42183
18020,"Columbus, IN (Metropolitan Statistical Area)",2,Population (persons) 1/,83779
18020,"Columbus, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52546
18140,"Columbus, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,2122271
18140,"Columbus, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52477
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,429024
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45140
18700,"Corvallis, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,93053
18700,"Corvallis, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48725
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",2,Population (persons) 1/,284809
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54270
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",2,Population (persons) 1/,97284
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41195
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,7573136
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,58725
19140,"Dalton, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,144724
19140,"Dalton, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37444
19180,"Danville, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,75758
19180,"Danville, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,40109
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,223234
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47485
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",2,Population (persons) 1/,379172
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50502
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,807611
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,49161
19460,"Decatur, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,152603
19460,"Decatur, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,40295
19500,"Decatur, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,104009
19500,"Decatur, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48764
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",2,Population (persons) 1/,668365
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44762
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",2,Population (persons) 1/,2967239
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,67236
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,699292
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,55039
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,4319629
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54172
20020,"Dothan, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,149358
20020,"Dothan, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43143
20100,"Dover, DE (Metropolitan Statistical Area)",2,Population (persons) 1/,180786
20100,"Dover, DE (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43097
20220,"Dubuque, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,97311
20220,"Dubuque, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,51525
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",2,Population (persons) 1/,288732
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47654
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,644367
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54423
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,170271
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43823
20740,"Eau Claire, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,169304
20740,"Eau Claire, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48956
20940,"El Centro, CA (Metropolitan Statistical Area)",2,Population (persons) 1/,181215
20940,"El Centro, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,40447
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",2,Population (persons) 1/,153928
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,43076
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",2,Population (persons) 1/,206341
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46975
