"T","S","V"
"0.1","10.049","99.02"
"0.2","20.0","98.03999999999999"
"0.30000000000000004","29.853","97.05999999999999"
"0.4","39.608","96.07999999999998"
"0.5","49.26499999999999","95.09999999999998"
"0.6","58.82399999999999","94.11999999999998"
"0.7","68.285","93.13999999999997"
"0.7999999999999999","77.648","92.15999999999997"
"0.8999999999999999","86.913","91.17999999999996"
"0.9999999999999999","96.08","90.19999999999996"
"1.0999999999999999","105.149","89.21999999999996"
"1.2","114.12","88.23999999999995"
"1.3","122.99300000000001","87.25999999999995"
"1.4000000000000001","131.768","86.27999999999994"
"1.5000000000000002","140.445","85.29999999999994"
"1.6000000000000003","149.024","84.31999999999994"
"1.7000000000000004","157.505","83.33999999999993"
"1.8000000000000005","165.888","82.35999999999993"
"1.9000000000000006","174.173","81.37999999999992"
"2.0000000000000004","182.36","80.39999999999992"
"2.1000000000000005","190.449","79.41999999999992"
"2.2000000000000006","198.44","78.43999999999991"
"2.3000000000000007","206.333","77.45999999999991"
"2.400000000000001","214.128","76.4799999999999"
"2.500000000000001","221.825","75.4999999999999"
"2.600000000000001","229.42399999999998","74.5199999999999"
"2.700000000000001","236.92499999999998","73.53999999999989"
"2.800000000000001","244.32799999999997","72.55999999999989"
"2.9000000000000012","251.63299999999998","71.57999999999988"
"3.0000000000000013","258.84","70.59999999999988"
"3.1000000000000014","265.94899999999996","69.61999999999988"
"3.2000000000000015","272.9599999999999","68.63999999999987"
"3.3000000000000016","279.8729999999999","67.65999999999987"
"3.4000000000000017","286.6879999999998","66.67999999999986"
"3.5000000000000018","293.4049999999998","65.69999999999986"
"3.600000000000002","300.0239999999998","64.71999999999986"
"3.700000000000002","306.54499999999973","63.73999999999986"
"3.800000000000002","312.9679999999997","62.75999999999986"
"3.900000000000002","319.29299999999967","61.779999999999866"
"4.000000000000002","325.51999999999964","60.79999999999987"
"4.100000000000001","331.6489999999996","59.81999999999987"
"4.200000000000001","337.67999999999955","58.839999999999876"
"4.300000000000001","343.61299999999954","57.85999999999988"
"4.4","349.4479999999995","56.87999999999988"
"4.5","355.1849999999995","55.899999999999885"
"4.6","360.82399999999944","54.91999999999989"
"4.699999999999999","366.3649999999994","53.93999999999989"
"4.799999999999999","371.80799999999937","52.959999999999894"
"4.899999999999999","377.15299999999934","51.9799999999999"
"4.999999999999998","382.3999999999993","50.9999999999999"
"5.099999999999998","387.54899999999924","50.019999999999904"
"5.1999999999999975","392.5999999999992","49.03999999999991"
"5.299999999999997","397.5529999999992","48.05999999999991"
"5.399999999999997","402.40799999999916","47.07999999999991"
"5.4999999999999964","407.1649999999991","46.099999999999916"
"5.599999999999996","411.8239999999991","45.11999999999992"
"5.699999999999996","416.3849999999991","44.13999999999992"
"5.799999999999995","420.84799999999905","43.159999999999926"
"5.899999999999995","425.212999999999","42.17999999999993"
"5.999999999999995","429.479999999999","41.19999999999993"
"6.099999999999994","433.648999999999","40.219999999999935"
"6.199999999999994","437.71999999999895","39.23999999999994"
"6.299999999999994","441.6929999999989","38.25999999999994"
"6.399999999999993","445.5679999999989","37.279999999999944"
"6.499999999999993","449.3449999999989","36.29999999999995"
"6.5999999999999925","453.02399999999886","35.31999999999995"
"6.699999999999992","456.6049999999988","34.339999999999954"
"6.799999999999992","460.0879999999988","33.35999999999996"
"6.8999999999999915","463.47299999999876","32.37999999999996"
"6.999999999999991","466.75999999999874","31.39999999999996"
"7.099999999999991","469.9489999999987","30.41999999999996"
"7.19999999999999","473.03999999999866","29.43999999999996"
"7.29999999999999","476.03299999999865","28.459999999999958"
"7.39999999999999","478.92799999999863","27.479999999999958"
"7.499999999999989","481.7249999999986","26.499999999999957"
"7.599999999999989","484.42399999999856","25.519999999999957"
"7.699999999999989","487.02499999999856","24.539999999999957"
"7.799999999999988","489.52799999999854","23.559999999999956"
"7.899999999999988","491.9329999999985","22.579999999999956"
