opportunity_id,Est_Revenue,Annual_Revenue,days_active,No_of_Employees,Won
7e8506e1-2c9b-e711-8118-005056ad09ed,1440.0,26855586.0,5.659108796296296,102.0,1
b0cfd616-2d9b-e711-8118-005056ad09ed,102960.0,301576944.0,8.656319444444444,1300.0,1
8549a452-2d9b-e711-8118-005056ad09ed,1276.0,301576944.0,118.6174074074074,1300.0,0
a8a8986a-2d9b-e711-8118-005056ad09ed,3900.0,50031237.0,30.517835648148147,200.0,1
fbaf8b76-2d9b-e711-8118-005056ad09ed,2690.0,23609400.0,52.6712962962963,238.0,1
7bb08b76-2d9b-e711-8118-005056ad09ed,40418.0,66697954.0,259.6314236111112,120.0,1
0167867c-2d9b-e711-8118-005056ad09ed,35750.0,5572667.0,396.7227662037037,1.0,0
87b97e82-2d9b-e711-8118-005056ad09ed,20000.0,26855586.0,235.6303472222222,102.0,0
27ba7e82-2d9b-e711-8118-005056ad09ed,10000.0,133100000.0,95.43151620370372,350.0,0
a8f840ee-2d9b-e711-8118-005056ad09ed,6412.0,301576944.0,23.56045138888889,1300.0,1
fa911730-2e9b-e711-8118-005056ad09ed,50000.0,26855586.0,528.6623263888889,102.0,0
730d1736-2e9b-e711-8118-005056ad09ed,2022880.0,125810963.0,105.38753472222224,300.0,1
fe57f665-2e9b-e711-8118-005056ad09ed,500000.0,105495599.0,172.7155324074074,500.0,0
5b6982e6-0d7c-e911-a9a9-005056b5913b,145080.0,102870836.0,2.931840277777778,350.0,1
9db2a4bb-2f9b-e711-8118-005056ad09ed,9606.0,26855586.0,120.34774305555555,102.0,0
238777f1-2f9b-e711-8118-005056ad09ed,8800.0,133100000.0,8.724212962962962,350.0,1
d4dd6ff7-2f9b-e711-8118-005056ad09ed,2637.5,133100000.0,25.491377314814816,350.0,1
3cb0b40a-e0d6-e811-8139-005056ad4f9d,250000.0,26405586.0,266.06817129629627,2.0,0
d8ccdae1-30fa-e811-812c-005056ad09ed,25000.0,26405586.0,70.00021990740741,2.0,0
a9b95866-a4ed-e811-812b-005056ad09ed,10000.0,26405586.0,9.29148148148148,2.0,1
c4073a3f-309b-e711-8118-005056ad09ed,374020.0,23609400.0,8.610729166666667,238.0,0
c12f3263-309b-e711-8118-005056ad09ed,35417.0,133100000.0,24.640925925925927,350.0,1
efd92a81-309b-e711-8118-005056ad09ed,134539.0,26855586.0,39.640601851851855,102.0,1
b4da2a81-309b-e711-8118-005056ad09ed,42012.0,26855586.0,7.619976851851852,102.0,1
e1302387-309b-e711-8118-005056ad09ed,52020.0,26855586.0,7.616354166666666,102.0,1
99312387-309b-e711-8118-005056ad09ed,9605.0,26855586.0,63.6359375,102.0,1
41851b8d-309b-e711-8118-005056ad09ed,64895.0,26855586.0,9.47193287037037,102.0,1
98851b8d-309b-e711-8118-005056ad09ed,3000.0,26855586.0,23.238703703703703,102.0,1
f6851b8d-309b-e711-8118-005056ad09ed,31688.0,26855586.0,12.435682870370371,102.0,1
1319e9c8-309b-e711-8118-005056ad09ed,32000.0,23609400.0,6.379027777777778,238.0,1
419555dc-2d9b-e711-8118-005056ad09ed,1350000.0,184182.0,263.4826967592593,50.0,0
b2e94de2-2d9b-e711-8118-005056ad09ed,1910000.0,26855586.0,203.3977314814815,102.0,1
255a73ae-2e9b-e711-8118-005056ad09ed,1050000.0,105495599.0,246.3564236111111,500.0,0
6b6166ba-2e9b-e711-8118-005056ad09ed,40000.0,105495599.0,240.41796296296295,500.0,0
d05b5b2c-a4d6-e611-8111-005056ad09ed,25000.0,26855586.0,280.8099074074074,102.0,0
981dea54-9b11-e811-8123-005056ad6943,54450.0,53242735.0,441.9042013888889,279.0,1
6610ee9b-bff4-e811-8139-005056ad4f9d,3000000.0,9224600000.0,552.0339467592593,12000.0,0
01d6146a-ce3e-e611-810a-005056ad6943,5000.0,53242735.0,828.3143981481481,279.0,0
7c7a2f57-3315-e911-812f-005056ad6943,25000.0,9224600000.0,109.67608796296297,12000.0,0
3d412e61-346d-ea11-a9be-005056b5913b,11000000.0,9224600000.0,72.92287037037038,12000.0,0
89c507ad-8d20-e911-812e-005056ad09ed,9563.0,53242735.0,33.17412037037037,279.0,1
d7ff57bb-8928-ec11-a9d8-005056b57426,1694191.0,50508439.0,81.72059027777777,150.0,1
4a733993-9814-ec11-a9d7-e84f749b98f3,574000.0,50508439.0,99.0588773148148,150.0,1
4d191438-2f9b-e711-8118-005056ad09ed,96750.0,26855586.0,31.628611111111116,102.0,1
da128a21-163e-e611-8112-005056ad4f9d,3085.0,125810963.0,0.0026041666666666,300.0,1
2fd10ce6-163e-e611-8112-005056ad4f9d,8082.0,125810963.0,0.0025578703703703,300.0,1
533309bc-f042-e611-8108-005056ad09ed,973000.0,125810963.0,0.001724537037037,300.0,1
