price,sqfeet,age,bedrooms,bathroom,garage,area,lotsize
240800,2536,21,4,6,2,1,33806
225750,1866,1,4,5,3,1,27033
166500,2020,14,4,6,2,1,14401
207900,1875,6,4,5,2,1,24064
260650,1910,9,4,4,3,1,45973
245750,2546,25,4,6,2,1,32495
112600,1400,36,3,5,2,1,5986
185100,2878,29,6,6,2,1,17130
235500,3000,11,5,6,2,1,30156
179900,1776,8,4,5,3,1,16421
265750,3024,18,5,6,2,1,35840
222600,2682,20,5,6,2,1,24962
242500,2037,6,4,6,3,1,29549
156500,1836,8,4,4,2,1,11785
253850,1733,3,3,5,3,1,33971
209500,2700,19,4,7,2,1,22962
224500,1651,2,3,4,4,1,26241
204250,2700,22,4,6,2,1,21522
237800,2051,12,3,3,2,1,30414
226500,2090,3,4,6,3,1,27277
199500,2700,42,5,3,2,1,20316
216750,2182,1,4,4,3,1,24055
181250,2600,37,5,3,1,1,16425
229500,1930,1,3,4,3,1,28305
207500,1834,2,3,4,3,1,23037
206250,1933,1,3,4,3,1,21680
265400,2172,1,3,4,3,1,35371
219250,2193,4,3,4,2,1,25682
272100,2018,1,4,5,4,1,39691
229600,2310,1,4,5,3,1,26663
261000,2256,1,4,4,3,1,43119
274600,2710,20,4,4,3,1,39475
192400,1984,1,3,4,3,1,18725
217200,2443,1,4,5,3,1,23686
201700,2650,2,4,7,2,1,21352
243350,2560,1,5,6,3,1,30041
287700,2341,1,4,6,4,1,46463
240750,2259,1,4,6,3,1,29212
217500,2167,1,4,4,3,1,25766
288900,2383,1,4,7,3,1,51884
265500,2544,1,3,5,3,1,36091
253750,2518,1,4,5,3,1,38982
208150,1991,1,4,4,3,1,22917
229700,2400,15,4,5,3,1,27303
282300,2939,1,5,5,3,1,45184
234750,2500,3,4,5,3,1,29196
170200,2854,1,5,5,3,1,14108
301200,3080,12,4,6,3,1,49490
305900,3659,1,4,6,3,1,57978
225400,2542,6,4,6,3,1,26009
251900,2208,2,5,5,3,1,34549
291300,2939,1,5,5,3,1,42928
301700,2460,1,4,5,3,1,47584
262750,2619,1,4,5,3,1,37229
273900,2718,10,4,5,3,1,40240
317800,3403,1,6,6,3,1,51614
242000,2619,1,4,5,3,1,32845
298500,3550,13,4,6,3,1,49833
229500,2644,5,4,5,3,1,26626
302100,2867,1,4,5,3,1,57300
310500,2938,1,4,5,4,1,49617
273100,3321,12,5,7,2,1,38148
305700,2975,1,5,8,3,1,46810
289900,3063,1,4,6,3,1,49032
257500,2754,1,4,6,3,1,39446
311000,3285,8,5,7,3,1,58100
280300,3300,12,5,6,3,1,39600
328150,2893,1,4,5,4,1,58068
337300,3277,1,5,6,3,1,61408
265500,3160,27,5,7,2,1,38546
231000,2750,4,4,5,3,1,27701
274800,2727,4,4,5,3,1,50276
262500,2733,1,5,5,3,1,36024
361100,4080,14,6,7,3,1,67296
322900,2900,2,5,6,3,1,53859
310500,3469,1,5,8,3,1,49832
226000,3000,3,4,6,2,1,28016
309300,2950,1,4,5,3,1,50464
298600,3217,3,4,6,4,1,47361
278000,2300,43,3,4,3,1,40216
331000,2418,5,3,4,4,1,56967
317000,3255,3,4,6,3,1,51847
302900,3114,10,3,5,4,1,52061
58700,1098,30,3,1,1,0,3095
71100,948,28,2,1,1,0,4249
59800,1159,50,2,1,1,0,1944
78500,1200,23,3,2,1,0,3129
64200,1430,54,3,1,1,0,2345
57600,1217,23,3,1,1,0,1659
54100,911,49,2,1,2,0,3737
72000,954,53,2,1,2,0,2601
90100,950,48,2,1,2,0,3714
75200,1086,41,3,5,2,0,7341
58500,1180,7,3,1,1,0,2931
64700,1004,52,2,1,2,0,2256
88900,988,28,3,1,2,0,4065
76550,1661,45,4,3,1,0,3915
82250,1008,47,2,1,2,0,3433
68600,1400,31,3,1,1,0,2371
75900,1340,34,2,4,1,0,4592
79600,1563,44,3,4,1,0,4023
88600,1072,49,2,1,2,0,4324
92700,1534,19,4,4,1,0,3488
80350,1016,21,3,1,2,0,4923
83400,1040,16,3,3,2,0,4473
97200,1136,29,3,2,2,0,5017
96300,1282,42,3,4,2,0,4356
78100,1670,47,3,1,1,0,3223
94000,1530,54,4,4,2,0,3976
79300,1789,53,3,4,1,0,4228
88150,1339,65,2,1,2,0,4683
88200,1160,21,3,1,2,0,5113
91600,1910,47,4,4,1,0,4946
82700,1100,6,3,4,2,0,7033
91100,1379,40,3,4,2,0,4426
91800,1032,15,2,1,2,0,3719
96450,1672,29,3,1,1,0,4816
72950,1407,37,3,2,2,0,3169
82200,1450,40,3,3,2,0,3585
93300,1728,61,4,1,2,0,4654
111400,1976,37,4,4,1,0,6944
90250,1608,7,3,1,1,0,3625
72500,1532,41,3,2,2,0,5009
70600,1288,5,3,4,2,0,3628
65950,1320,9,3,4,2,0,4749
90100,1416,41,2,4,2,0,4190
110200,2022,36,4,3,1,0,5975
122500,1550,42,3,2,2,0,7561
93900,1568,40,3,3,2,0,4585
84800,1968,40,3,3,1,0,5789
103600,1536,22,3,4,2,0,5423
121000,1872,39,4,4,2,0,7125
102150,2200,31,4,4,1,0,4644
129600,1763,29,3,4,2,0,8448
82950,2073,71,3,3,2,0,4080
111700,1563,52,3,1,3,0,5770
127150,2080,28,5,4,2,0,7737
139300,1968,47,3,3,2,0,8001
111900,1340,9,3,4,3,0,7453
96400,1730,12,3,4,2,0,4344
106250,2168,2,4,4,1,0,4896
126100,2320,22,4,4,1,0,7187
121950,1750,8,3,4,2,0,7500
150950,2000,39,3,4,2,0,11143
142100,2073,44,3,2,2,0,10810
173200,2000,20,3,3,2,0,14684
157850,1900,45,3,6,3,0,12639
164700,2400,38,4,4,2,0,14396
130100,3000,43,4,5,1,0,8152
123900,2172,1,5,6,3,0,7499
180500,2515,51,2,4,2,0,16289
169900,2500,49,4,6,3,0,14731
213000,2345,44,5,4,4,0,24008
