opportunity_id,Entity_ID,Est_Revenue,Annual_Revenue,days_active,PFY_RSM_Services_Spend,CFY_RSM_Services_Spend,No_of_Employees,Probability,Lead_Source,Private_Equity,Open_Revenue,Type,industry_sector,revenue_size,Microsoft_Enterprise_Agreement,Won
419555dc-2d9b-e711-8118-005056ad09ed,7264623,1350000,184182,263.4826968,0,0,50,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,high,_missing_,0
b2e94de2-2d9b-e711-8118-005056ad09ed,7787025,1910000,26855586,203.3977315,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,high,No,1
255a73ae-2e9b-e711-8118-005056ad09ed,7786982,1050000,105495599,246.3564236,0,0,500,20%,Referral - Other,No,0,Existing Relationship - Renewal,Retail & Restaurants,high,No,0
6b6166ba-2e9b-e711-8118-005056ad09ed,7786982,40000,105495599,240.417963,0,0,500,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
d05b5b2c-a4d6-e611-8111-005056ad09ed,7787025,25000,26855586,280.8099074,71687.88,1012.89,102,20%,Partner,Yes,0,Existing Relationship - New Business,Retail & Restaurants,med,No,0
981dea54-9b11-e811-8123-005056ad6943,7806610,54450,53242735,441.9042014,-554.07,0,279,60%,BD Activity,No,0,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
6610ee9b-bff4-e811-8139-005056ad4f9d,7817555,3000000,9224600000,552.0339468,0,0,12000,20%,BD Activity,No,0,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,0
01d6146a-ce3e-e611-810a-005056ad6943,7806610,5000,53242735,828.3143981,-554.07,0,279,20%,BD Activity,No,0,New Relationship - New Business,Retail & Restaurants,low,_missing_,0
7c7a2f57-3315-e911-812f-005056ad6943,7817555,25000,9224600000,109.676088,0,0,12000,20%,Director,No,0,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,0
3d412e61-346d-ea11-a9be-005056b5913b,7817555,11000000,9224600000,72.92287037,0,0,12000,20%,BD Activity,No,0,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,0
89c507ad-8d20-e911-812e-005056ad09ed,7806610,9563,53242735,33.17412037,-554.07,0,279,20%,BD Activity,No,0,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
d7ff57bb-8928-ec11-a9d8-005056b57426,7716544,1694191,50508439,81.72059028,0,698422.26,150,20%,Referral - Microsoft,No,2900000,New Relationship - New Business,Retail & Restaurants,high,_missing_,1
4a733993-9814-ec11-a9d7-e84f749b98f3,7716544,574000,50508439,99.05887731,0,698422.26,150,20%,Referral - Microsoft,No,2900000,New Relationship - New Business,Retail & Restaurants,high,_missing_,1
4d191438-2f9b-e711-8118-005056ad09ed,7787025,96750,26855586,31.62861111,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
da128a21-163e-e611-8112-005056ad4f9d,7787009,3085,125810963,0.002604167,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
